1	2	3	4	5	6	7
FO538757.3	0.997806494450253	0.999280397197066	1.00042959458397	1.00015045362541	1	0.999684807722457	1.00052996795894
FO538757.2	1.00204292074536	1.00186876789845	0.984308146496669	0.989568425846944	0.959679064600964	1.01251046851879	1
AP006222.2	1.00118394972591	0.996585178442033	1.01032229174503	0.999305002111018	0.99960307526631	1	1.00080514121555
RP4-669L17.10	1.0032933476191	1.00288881708485	0.998866076233837	0.999971498532994	1	1.00020044522646	0.999957825974748
RP11-206L10.9	1	1.01942259649007	0.996688258096105	0.999942010714356	0.99806436407962	1.00151210424927	1.00590790141033
LINC00115	1	1.0081225415783	1.00483381680627	0.997870769888661	0.995576213055577	0.995775771555064	1.00718707251563
RP11-54O7.1	1	1.00033793131349	0.999605123370883	0.998885567256146	0.997727299275966	1.00074276982479	1.00158882449068
RP11-54O7.3	0.99444127943541	1	1.00062681790359	0.995643467969548	0.998479748681518	1.02222242134346	1.00101612917213
SAMD11	0.996338159365435	1.00083230939263	0.995382065104305	1.00490390466498	0.994699486398211	1.01140195458141	1
NOC2L	0.960925361783191	1.06602537741864	0.966808685874076	1	1.01889283260213	0.942595619315605	1.00335960977753
KLHL17	0.999203568690244	1.00475373140042	1	0.986927251258532	0.98880117973564	1.0208286235187	1.01452295790722
PLEKHN1	0.994247086808844	1.00232290011055	1	0.994448723956383	1.00205599493283	1.01003714375277	0.993647544766025
RP11-54O7.17	0.995798850767778	1.00080372662127	1.00369966033851	0.993593552091101	1.00506557283312	0.99738146033788	1
HES4	0.997957348054108	1	1.00209334581126	0.999708269462856	0.999052637881814	1.00141237687282	1.00513215639698
ISG15	1	1.0589199472747	0.974236500267831	0.984888216339575	1.11793972956241	1.09713823452957	0.995914871782463
AGRN	0.963989920734306	0.997445955824558	1	0.982589299936081	1.05114461536268	1.03132358039439	1.00677011795903
C1orf159	1.02208921033299	1.00430881643043	0.991615596730278	1	1.03780059745069	0.990578424010031	0.974586049319037
SDF4	1.00739492492987	1.0260000725578	0.978732078812241	0.989133280205274	0.992265730200103	1	1.00167755581032
B3GALT6	1.00212950492129	1.01090131219116	0.994238992712118	0.996053445533784	1.03714275042532	1	0.989864490751681
FAM132A	0.999457536782328	1	0.990872554813862	0.989998766391129	1.00693427724522	1.02342893654751	1.00310972215559
UBE2J2	1.0316479561489	1.0530412353984	0.954863897025164	1	1.11653365599472	0.916714977774769	0.98582758357657
SCNN1D	1.00301042411993	1	0.999450093985297	0.999199810897218	0.996496198966726	1.00998579293268	1.0059218148587
ACAP3	0.98057679599237	0.997301591482019	1.01436846823749	1.00029548894358	1.01830387215399	1	0.992217423331822
PUSL1	1.02142596724727	1.01392177269222	0.996698917803549	1.0082286238494	1	0.95617894269585	0.963511504500607
CPSF3L	1.036533983813	1.05830058105258	0.998991861738394	1.00684291855904	1	0.996765824479752	0.991226968385073
CPTP	1.00992783434824	1.01549914315434	0.998004275140754	1	1.01264711587373	0.996306530768348	0.979355455465875
DVL1	1.01412299429137	1.03580510788253	1	0.9783514579915	1.05441771972471	0.981761365087124	0.972171415081891
MXRA8	0.999054864775699	1	0.999613512745013	1.00116580440401	0.998029101376568	1.00369535629494	1.00269706307685
